feature,cohens_d
checksum_matches,1.9684278
opt_dllchar_NX_COMPAT,1.6950923
opt_subsystem,1.6771038
sig_verified,1.6614102
coff_char_LARGE_ADDRESS_AWARE,1.6433797
dd_CERTIFICATE_TABLE_size,1.3921117
opt_dllchar_DYNAMIC_BASE,1.305816
sec_max_entropy,1.2818937
dd_CLR_RUNTIME_HEADER_rva,1.262767
coff_char_DLL,1.1678387
opt_imagebase,1.1645274
imp_dll_hash_43,1.1521776
sec2_vsize,1.1456039
opt_section_alignment,1.1280179
has_debug,1.0836598
has_repro,1.0659772
opt_dllchar_HIGH_ENTROPY_VA,1.0416187
rsrc_has_version,1.028623
overlay_entropy,1.0255998
opt_dllchar_NO_SEH,1.0242773
has_overlay,1.022451
overlay_size,1.0172327
rich_max_build_id,1.006392
sec1_entropy,0.95555544
coff_characteristics,0.9486854
dd_CERTIFICATE_TABLE_rva,0.93893707
has_relocations,0.93769896
sec2_entropy,0.92435086
opt_checksum,0.9138719
imp_func_hash_149,0.90356714
dd_DEBUG_DIR_rva,0.90048164
sec_mean_entropy,0.8946182
sec_name_hash_8,0.87384796
num_certificates,0.8645366
imp_dll_hash_61,0.85774034
sec3_is_write,0.85407084
sec_name_hash_23,0.8496461
has_resources,0.8438176
opt_sizeof_init_data,0.8437857
coff_machine,0.83241457
